,Censo,Cuadro,Link,Provincia,Departamento,Indicador,Unidad de registro,Valor
125,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Sauce álamo,Hectáreas,0.0
126,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Algarrobo,Hectáreas,0.0
127,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Araucaria,Hectáreas,0.0
128,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Cedro,Hectáreas,0.0
129,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Pehuén,Hectáreas,0.0
130,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Tipa,Hectáreas,0.0
131,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Peteribí,Hectáreas,0.0
132,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Lapacho,Hectáreas,0.0
133,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Guatambú,Hectáreas,0.0
134,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Lenga,Hectáreas,0.0
135,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Quebracho,Hectáreas,0.0
136,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Otras forestales nativas,Hectáreas,0.0
137,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Otras forestales,Hectáreas,0.0
138,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06042,Buenos Aires,Ayacucho,Total,Hectáreas,42.0
139,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06042,Buenos Aires,Ayacucho,Álamo,Hectáreas,0.0
140,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06042,Buenos Aires,Ayacucho,Eucalipto,Hectáreas,42.0
141,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06042,Buenos Aires,Ayacucho,Grevillea,Hectáreas,0.0
142,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06042,Buenos Aires,Ayacucho,Kiri,Hectáreas,0.0
143,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06042,Buenos Aires,Ayacucho,Paraíso,Hectáreas,0.0
144,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06042,Buenos Aires,Ayacucho,Toona,Hectáreas,0.0
145,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06042,Buenos Aires,Ayacucho,Pino,Hectáreas,0.0
146,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06042,Buenos Aires,Ayacucho,Pino oregon,Hectáreas,0.0
147,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06042,Buenos Aires,Ayacucho,Sauce ,Hectáreas,0.0
148,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06042,Buenos Aires,Ayacucho,Sauce álamo,Hectáreas,0.0
149,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06042,Buenos Aires,Ayacucho,Algarrobo,Hectáreas,0.0
150,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06042,Buenos Aires,Ayacucho,Araucaria,Hectáreas,0.0
151,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06042,Buenos Aires,Ayacucho,Cedro,Hectáreas,0.0
152,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06042,Buenos Aires,Ayacucho,Pehuén,Hectáreas,0.0
153,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06042,Buenos Aires,Ayacucho,Tipa,Hectáreas,0.0
154,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06042,Buenos Aires,Ayacucho,Peteribí,Hectáreas,0.0
155,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06042,Buenos Aires,Ayacucho,Lapacho,Hectáreas,0.0
