Censo,Cuadro,Provincia,Departamento,Indicador,Unidad de registro,Valor,Link
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Tuna,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Vid,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Otros frutales,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Sin discriminar ,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Total,Hectáreas,27.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Cítricos  | Limonero ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Cítricos  | Mandarino ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Cítricos  | Naranjo ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Cítricos  | Pomelo ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Cítricos  | Otros y sin discriminar,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,De pepita  | Manzano ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,De pepita  | Membrillo ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,De pepita  | Peral ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,De carozo  | Cerezo ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,De carozo  | Ciruelo ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,De carozo  | Damasco ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,De carozo  | Duraznero ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,De carozo  | Otros ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Secos  | Almendro ,Hectáreas,5.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Secos  | Avellano ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Secos  | Castaño ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Secos  | Nogal ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Secos  | Pecán ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Secos  | Otros secos ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Menores (berries) | Arándano ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Menores (berries) | Frambuesa ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Menores (berries) | Otros berries ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Higuera,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Kiwi,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Olivo  | Aceite ,Hectáreas,21.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Olivo  | Conserva ,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Tuna,Hectáreas,0.0,06056
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,bahía blanca,Vid,Hectáreas,0.0,06056
