Censo,Cuadro,Provincia,Departamento,Indicador,Unidad de registro,Valor,Link
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Trébol blanco,Hectáreas,0.0,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Trébol rojo,Hectáreas,0.0,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Otras perennes puras,Hectáreas,9.5,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Alfalfa consociada,Hectáreas,0.0,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Otras perennes consociadas,Hectáreas,0.0,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Sin discriminar,Hectáreas,0.0,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Total,Hectáreas,6273.5,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Achicoria,Hectáreas,0.0,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Agropiro,Hectáreas,0.0,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Alfalfa pura,Hectáreas,0.0,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Cebadilla criolla,Hectáreas,0.0,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Falaris,Hectáreas,0.0,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Festuca,Hectáreas,0.0,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Lotus,Hectáreas,0.0,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Panicum,Hectáreas,0.0,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Pasto llorón,Hectáreas,0.0,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Pasto ovillo,Hectáreas,0.0,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Pasto Pangola,Hectáreas,0.0,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Raigrás perenne,Hectáreas,0.0,06077
