Censo,Cuadro,Provincia,Departamento,Unidad de registro,Indicador,Valor,Link
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,Hectárea | EAP sin límites definidos,-1.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,Hectárea | EAP con límites definidos,302585.5,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,Hectárea | Hasta 5,9.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"Hectárea | 5,1 - 10",34.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"Hectárea | 10,1 - 25",33.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"Hectárea | 25,1 - 50",274.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"Hectárea | 50,1 - 100",1912.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"Hectárea | 100,1 - 200",6072.5,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"Hectárea | 200,1 - 500",28468.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"Hectárea | 500,1 - 1.000",63910.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"Hectárea | 1.000,1 - 1.500",48143.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"Hectárea | 1.500,1 - 2.000",35323.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"Hectárea | 2.000,1 - 2.500",13031.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"Hectárea | 2.500,1 - 3.500",30093.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"Hectárea | 3.500,1 - 5.000",43426.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"Hectárea | 5.000,1 - 7.500",23985.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"Hectárea | 7.500,1 - 10.000",7872.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"Hectárea | 10.000,1 - 20.000",0.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,Hectárea | Más de 20.000,0.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,EAP | Total,287.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,EAP | EAP sin límites definidos,0.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,EAP | EAP con límites definidos,287.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,EAP | Hasta 5,1.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"EAP | 5,1 - 10",8.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"EAP | 10,1 - 25",14.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"EAP | 25,1 - 50",29.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"EAP | 50,1 - 100",61.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"EAP | 100,1 - 200",57.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"EAP | 200,1 - 500",66.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"EAP | 500,1 - 1.000",27.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"EAP | 1.000,1 - 1.500",10.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"EAP | 1.500,1 - 2.000",3.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"EAP | 2.000,1 - 2.500",6.0,06021
