censo,cuadro,provincia,departamento,link,unidad_de_registro,indicador,valor,escala_total
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"2.000,1 - 2.500",8,1.000-2.500
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"2.500,1 - 5.000",20,2.500-5.000
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"5.000,1 - 7.500",5,5.000-10.000
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"7.500,1 - 10.000",-1,10.000 y más
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"10.000,1 - 20.000",-1,10.000 y más
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"20.000,1 y más",-1,10.000 y más
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,Hectáreas,Total,334167.3,Total
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,Hectáreas,0 - 5,0,0-25
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,Hectáreas,"5,1 - 10",22,0-25
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,Hectáreas,"10,1 - 25",17,0-25
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,Hectáreas,"25,1 - 50",185,25-50
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,Hectáreas,"50,1 - 100",792,50-100
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,Hectáreas,"100,1 - 200",5926.5,100-200
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,Hectáreas,"200,1 - 500",26264.5,200-500
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,Hectáreas,"500,1 - 1.000",44947.4,500-1.000
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,Hectáreas,"1.000,1 - 1.500",41425,1.000-2.500
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,Hectáreas,"1.500,1 - 2.000",39540.4,1.000-2.500
