censo,cuadro,link,provincia,departamento,unidad_de_registro,indicador,valor,escala_total
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,"10.000,1 - 20.000",0,10.000 y más
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,Más de 20.000,0,10.000 y más
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,Tot-l,387.8,NA
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,EAP sin límites definidos,-1,EAP sin límites definidos
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,0 - 5,46.8,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,"5,1 - 10",86.5,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,"10,1 - 25",31.5,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,"25,1 - 50",121,25-50
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,"50,1 - 100",0,50-100
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,"100,1 - 200",102,100-200
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,"200,1 - 500",0,200-500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,"500,1 - 1.000",0,500-1000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,"1.000,1 - 1.500",0,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,"1.500,1 - 2.000",0,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,"2.000,1 - 2.500",0,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,"2.500,1 - 3.500",0,2.500-5.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,"3.500,1 - 5.000",0,2.500-5.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,"5.000,1 - 7.500",0,5.000-10.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,"7.500,1 - 10.000",0,5.000-10.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,"10.000,1 - 20.000",0,10.000 y más
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,Hectárea,Más de 20.000,0,10.000 y más
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06077,buenos aires,arrecifes,EAP,Tot-l,192,NA
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06077,buenos aires,arrecifes,EAP,EAP sin límites definidos,0,EAP sin límites definidos
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06077,buenos aires,arrecifes,EAP,0 - 5,2,0-25
